Profit and Loss,,,,,,,,,,,,,
"MVR Digital, LLC",,,,,,,,,,,,,
"January-December, 2025",,,,,,,,,,,,,

Distribution account,January 2025,February 2025,March 2025,April 2025,May 2025,June 2025,July 2025,August 2025,September 2025,October 2025,November 2025,December 2025,Total
Income,,,,,,,,,,,,,
Billable Expense Income,429.66,,"1,695.64",101.50,15.73,,,,,,,,"2,242.53"
partner referral commissions,,,,,,,,,,,"8,980.77",,"8,980.77"
Services,"95,383.76","61,674.72","64,999.41","78,407.40","94,773.13","80,374.39","147,486.32","101,400.58","102,190.82","108,743.25","119,895.66","109,656.20","1,164,985.64"
Unapplied Cash Payment Income,0.00,,0.00,,,0.00,0.36,-0.01,-0.35,0.00,,,0.00
Total for Income,"95,813.42","61,674.72","66,695.05","78,508.90","94,788.86","80,374.39","147,486.68","101,400.57","102,190.47","108,743.25","128,876.43","109,656.20","$1,176,208.94"
Gross Profit,"95,813.42","61,674.72","66,695.05","78,508.90","94,788.86","80,374.39","147,486.68","101,400.57","102,190.47","108,743.25","128,876.43","109,656.20","$1,176,208.94"
Expenses,,,,,,,,,,,,,
Advertising,,"1,402.98",7.56,15.73,,397.55,,,,,"9,000.00",,"10,823.82"
Advertising,602.08,105.14,105.14,231.08,105.14,452.13,105.14,105.14,105.14,105.14,105.14,105.14,"2,231.55"
Total for Advertising,602.08,"1,508.12",112.70,246.81,105.14,849.68,105.14,105.14,105.14,105.14,"9,105.14",105.14,"$13,055.37"
ask my accountant,0.00,,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00
bank fees,,,,,,72.00,319.71,281.81,65.00,65.00,65.00,94.00,962.52
Commissions and fees,,,,,,,,,,,,,
Referral/broker/selling fees,,,,,,,,,,400.00,,400.00,800.00
Total for Commissions and fees,,,,,,,,,,400.00,,400.00,$800.00
Conferences,350.00,,,,,,,,,,,,350.00
Consulting & Accounting,752.00,752.00,752.00,752.00,752.00,"2,752.00",752.00,752.00,752.00,"3,752.00",752.00,"10,728.00","24,000.00"
Continuing Education & Seminars,"2,850.00",,,,,,,,,,,,"2,850.00"
Contract labor,"34,728.92","39,959.86","32,265.25","29,198.74","34,123.59","41,938.14","41,106.84","32,716.64","35,690.49","37,510.02","36,875.17","33,958.28","430,071.94"
Deel holding acct,,,,,,,,,0.00,0.00,0.00,0.00,0.00
Dues & subscriptions,,,,,,225.00,,,,,,249.00,474.00
Employee Benefits,"1,141.31","1,141.31","1,141.31","1,952.70","1,952.70","1,952.70","1,952.70","1,952.70","1,852.71","1,652.73","1,099.07","1,111.31","18,903.25"
gifts for clients,,,,83.00,,,71.73,,,,"2,862.85",556.40,"3,573.98"
holiday gift,65.00,,,,,,,,,,,"3,000.00","3,065.00"
Insurance,"4,159.49","2,257.49","2,257.49","3,008.06","3,217.98","3,144.99","3,008.06","3,217.98","2,798.14","3,008.06","3,175.78","1,523.33","34,776.85"
Workers Compensation,94.12,100.88,33.89,35.08,39.08,35.99,68.95,81.72,81.72,92.80,52.00,46.78,763.01
Total for Insurance,"4,253.61","2,358.37","2,291.38","3,043.14","3,257.06","3,180.98","3,077.01","3,299.70","2,879.86","3,100.86","3,227.78","1,570.11","$35,539.86"
Interest Paid,,,,,135.05,111.85,,264.88,292.70,,,,804.48
Other interest,,,,1.08,0.02,,,,,,,,1.10
Total for Interest Paid,,,,1.08,135.07,111.85,,264.88,292.70,,,,$805.58
Meals,201.94,,301.35,121.23,70.38,899.64,125.00,,186.39,212.49,102.70,539.44,"2,760.56"
Meals with clients,,,574.91,,,,,,,,,,574.91
Total for Meals,201.94,,876.26,121.23,70.38,899.64,125.00,,186.39,212.49,102.70,539.44,"$3,335.47"
Office expenses,,,,124.78,,,,,0.50,,,,125.28
Office expenses,117.76,3.64,164.89,50.00,28.63,50.00,,51.68,50.00,28.74,,200.00,745.34
Shipping fees,,,120.00,,,,,,120.00,,4.08,,244.08
Total for Office expenses,117.76,3.64,284.89,174.78,28.63,50.00,,51.68,170.50,28.74,4.08,200.00,"$1,114.70"
Other Business Expenses,,,,,,,,,,,,,
Apps/software/web services,"2,901.23","3,087.87","6,064.22","4,963.60","2,618.42","4,344.78","4,447.87","15,377.21","4,282.07","3,313.24","3,280.73","3,266.47","57,947.71"
Memberships/subscriptions,,,865.00,,,95.00,"1,612.50",,"1,264.50",347.00,347.00,"1,264.50","5,795.50"
Transaction/processing fees,,,15.00,,,,,,,,,,15.00
Total for Other Business Expenses,"2,901.23","3,087.87","6,944.22","4,963.60","2,618.42","4,439.78","6,060.37","15,377.21","5,546.57","3,660.24","3,627.73","4,530.97","$63,758.21"
Payroll Processing Fees,318.62,121.97,127.23,121.97,121.97,121.97,121.97,121.97,125.12,125.12,124.07,111.46,"1,663.44"
Pension Expense,,,,,,,,,,,,,
401K Fidelity bond,,,,,,,,,270.00,,,,270.00
Total for Pension Expense,,,,,,,,,270.00,,,,$270.00
Product research samples,,,,566.56,,,,,4.95,63.15,,,634.66
QuickBooks Payments Fees,27.13,25.00,239.53,216.00,237.82,49.76,250.08,232.05,233.79,223.41,256.05,244.75,"2,235.37"
recruitment expense,,"16,544.00",,,,,49.98,,"1,508.13","1,255.99","1,000.00","1,000.00","21,358.10"
Salaries & Wages,"13,119.28","19,219.48","19,914.14","19,914.14","19,914.14","22,341.14","19,914.14","19,914.14","19,914.14","19,042.35","16,147.42","38,027.53","247,382.04"
Taxes and licenses,,,,,,,,,,,,,
Business licenses,,,,,,,,75.00,,,,,75.00
Employer Taxes,"1,373.60","1,909.08","1,767.96","1,770.04","1,736.80","1,706.06","1,464.40","1,464.40","1,464.40","1,397.71","1,179.33","2,854.27","20,088.05"
Total for Taxes and licenses,"1,373.60","1,909.08","1,767.96","1,770.04","1,736.80","1,706.06","1,464.40","1,539.40","1,464.40","1,397.71","1,179.33","2,854.27","$20,163.05"
Travel expenses,371.73,"4,704.71","2,366.56","4,074.59",526.30,"1,003.38",28.92,,"8,056.97",-538.19,"-2,636.57",357.44,"18,315.84"
Utilities,267.52,,249.85,309.94,,130.56,79.31,36.02,112.15,107.92,121.80,194.22,"1,609.29"
Phone,86.47,86.47,86.47,86.47,86.44,99.92,87.39,87.36,142.81,102.34,102.38,102.38,"1,156.90"
Utilities,48.00,48.00,48.00,48.00,48.00,48.00,48.00,48.00,48.00,48.00,48.00,,528.00
Total for Utilities,401.99,134.47,384.32,444.41,134.44,278.48,214.70,171.38,302.96,258.26,272.18,296.60,"$3,294.19"
Total for Expenses,"63,576.20","91,469.88","69,467.75","67,644.79","65,714.46","81,972.56","75,614.69","76,780.70","79,421.82","72,315.02","74,064.00","99,934.70","$917,976.57"
Net Operating Income,"32,237.22","-29,795.16","-2,772.70","10,864.11","29,074.40","-1,598.17","71,871.99","24,619.87","22,768.65","36,428.23","54,812.43","9,721.50","$258,232.37"
Other Income,,,,,,,,,,,,,
Late Fee Income,69.05,145.54,153.80,78.44,4.49,2.93,188.32,114.99,,43.88,142.83,,944.27
Total for Other Income,69.05,145.54,153.80,78.44,4.49,2.93,188.32,114.99,,43.88,142.83,,$944.27
Net Other Income,69.05,145.54,153.80,78.44,4.49,2.93,188.32,114.99,,43.88,142.83,,$944.27
Net Income,"32,306.27","-29,649.62","-2,618.90","10,942.55","29,078.89","-1,595.24","72,060.31","24,734.86","22,768.65","36,472.11","54,955.26","9,721.50","$259,176.64"



"Cash Basis Friday, January 30, 2026 10:12 PM GMTZ",,,,,,,,,,,,,
